818401238999044096,Kuendeleza biashara 
818575170770472960,Jumaa omary
818576999088558080,It not let me finish last sfep
818599351948750848,Sababu niongezee mtaji
818610932690530304,I want to change my phone number
818701573596459008,Namba nayotumia ni ya vodacomu
818703187547164672,Sijawahi kukopa mkopo kwenye app
818900586584510464,Nahitaji kuyengeneza gari yangu ya daladala naomba msaada wenu wa mkopo yafadhallini sana 
819020334731964416,Yes 
819135897344315392,Nahitaji mkopo kwasababu namatatizo yakibiashara
819231305290649600,Kwa nn hamnipi mkopo 
818579137617367040,Barua pepe mbona inakataa naomba mfano na tarifa za anuani sijaelewa vizuri
819659134268510208,I have Vodacom number
819941732567912448,Nimekopa kwasababu ya kupata mtaji wa duka rangu
819952256538718208,"Mkpo
"
820029322654552064,Naitaj kurudi mwanzo kusoma tena kabla ya kujisajir samahan
820106364616781824,Balluha pepe nimeshinda
820121890403463168,Sina nyumba
820144326657609728,Nimekosea kutoa taarifa
819950978744004608,Nahitaji mkopo kwa ajili ya biashara
820421661801746432,Bado sijapata mkopo
820435645460983808,Naomba kukopeshwa kwani mimi mfanyabiashara 
820489588849324032,"Naomba majibu
"
820080436288589824,Mim ni mfugaji wa kuku wa mayai na mkulima wa mbogamboga
820548519273508864,I will keep on later
820680918722199552,Nahitaji kuongezeka hela nilipe Deni la kiwanja 
820801222016229376,I want to fill again 
820818878077329408,Inazinguas sana
820870191614312448,"Sijawahi kukopa sababu biashara 
yangu haijuwa kubwa sana
"
818285427030106112,Maelezo yenu siyaelewi kabisa
821136013068902400,Kulipia kodi
821178610252554240,Ujasiliamali
821195232269631488,"Bussness
"
821266317560315904,biashar 
821295391150243840,Nahitaji mkopo kwa ajili kuboresha biashara yangu
821411102969827328,I need to change account number
821476379719897088,Sijaelewa namna ya kujaza  mahali palipoandikwa tarehe ya mshahara ili hali mimi nimejiajili naomba mkopo nijiendeleze
821500657332740096,Invalid phone number 
821548658910826496,I want to changes registered number
821586033904803840,I need loan soon
821767066738757632,Nataka mkopo kwa ajili ya biashara
821795577159487488,Bissenes
821821759888121856,Nahitaji mkopo nikize biashara yangu
821823587963113472,No reason
821827576632971264,Because only one line 
821849082582798336,Taarifa za anuani sielewi ni nini kijazwe
821890578404958208,No batili kivipi
821878875965624320,"Sina Mkopo Wowote ule Mahali Popote,Nahitaji Mkopo ili Kuendeleza Kazi Yangu Ya Ufundi Welding Kwani Material Bei Iko Juu Sana."
821534998012190720,"Nasibu87
"
821932786428678144,"Mawasiliano ya simu Kwa watu wengine watatu, kwenye mkopo wangu.
"
821935147050078208,"I don't know
"
821949951265476608,Hatumii simu
822104259286011904,Biashala
820870814485233664,Sijawahi kukopa kupitia mtandao
822235394620002304,Sijafanikiwa kupata mkopo nanina itaji mkopo wa pesa
822239885465489408,For business  purposes 
822279464884985856,Kwa ajili ya biashara
821872958280654848,Anuani ya nyumba Sina kwa maana nyumbn kwetu hakujawekewa anuani
820801222016229376,Problem in filling contact information 
822351759498547200,I want to buy dagaa
822363267297009664,Juma
821949951265476608,Wanafungua hawana simu
822571196063506432,To gain m
822629050355113984,School fees
822640123922075648,Huduma ni nzuri
822645763863830528,I don't have the person to put a contact there
822135077806891008,In contact it dont work 
822706669893701632,Najaribu kuweka barua pepe yangu naambiwa sio shih kwanin 
822733761875894272,Hamna kianzio cha laki moja
822884464657051648,Naitaji kufanya biashala
822594892987719680,inagoma kuweka mawasiliano mengine 
821493241429975040,Sijawahi kukopa lakin ndiyo naanza leo
822955309060468736,Nàmbà zà wàdhàmini hàziàñdikiki kweñye kisànduku
818649431321948160,Nahitaji kuongeza mzunguko wa biashara yangu
819230165468262400,App stopped in selecting contact then prompt to previous stage 
822358680448098304,Bado sijafanikiwa kupata mkopo mpaka sasa nahangaika tu
823504627437387776,naitaji kuboresha biashara
823682296695209984,Kufuga
823924986849869824,kuna namba nyingine ya kuomba mkopo
823946482930974720,Other
819969004885323776,"Mfumo wenu siuwezi napataje mkopo
"
824018762222567424,"Kuhusu barua pepe
"
824043608235081728,Nimeshindwa kuweka barua pepe
824084251149893632,ni machinga 
824103296230260736,"Naanza kujaza upya...

"
824114870403284992,Nahitaji mkopo nashindwa kumalizia kujiunga na app
824126432132284416,"Biashara ndogondo
go"
824141778575196160,Kufanya biashara 
824423366931857408,"business 

"
824564347350106112,Barua pepe naandika nn
822694993731506176,nashindwa chagua namba za simu
824679155714523136,Nataka mkopo ili nikuze biashara yangu
824740830903828480,Shida
824802275024732160,Bussiness
824893228430999552,Kwaajiri ya ununuzi wa vifaa vya kazi
